Date,Region,Total Doses Received,Total Doses Administered,SLC Percent Population
1/17/2021,North Country,25925,21120,0.258
1/19/2021,North Country,25925,24773,
1/20/2021,North Country,25925,24926,
1/21/2021,North Country,25925,25783,
1/22/2021,North Country,25925,27270,
1/23/2021,North Country,36745,28425,
1/24/2021,North Country,36745,28468,
1/25/2021,North Country,50945,32285,
1/26/2021,North Country,50945,33581,
1/27/2021,North Country,50945,36269,
1/28/2021,North Country,,,
1/29/2021,North Country,54585,39111,
1/30/2021,North Country,58465,40162,
1/31/2021,North Country,62350,40289,
2/1/2021,North Country,62350,41358,
2/2/2021,North Country,62350,44578,
2/3/2021,North Country,62350,50436,
2/4/2021,North Country,62350,61547,
2/5/2021,North Country,68405,67504,
2/6/2021,North Country,,,
2/7/2021,North Country,80515,72939,
2/8/2021,North Country,,,
2/9/2021,North Country,,,
2/10/2021,North Country,,,
2/11/2021,North Country,,,
2/12/2021,North Country,,,
2/13/2021,North Country,,,
2/14/2021,North Country,,,
2/15/2021,North Country,,,
2/16/2021,North Country,,,
2/17/2021,North Country,,,
2/18/2021,North Country,,,
2/19/2021,North Country,,,
2/20/2021,North Country,,,
